READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
20/04/2017 10.00,0.52795625,0.566375938,0.504173414,0.420413604,0.707508858,0.948062533,0.384269894,0.528295493,0.774190459,0.574418209,0.713954697,0.863044671,0.491916822,0.452119689,0.630561053,0.423982307,0.635494055,0.876108469,0.443113974,0.407265097,0.568003373,0.367930176,0.551479238,0.760283479
20/04/2017 11.00,0.273292857,0.556463058,0.370342105,0.447251894,0.681034488,0.939003939,0.401016944,0.513991209,0.72896074,0.539654654,0.670124905,0.808492516,0.372306061,0.386497631,0.544324257,0.370530223,0.60032165,0.743649955,0.371813372,0.385986162,0.543603929,0.318974922,0.51679334,0.640179051
20/04/2017 12.00,0.489651786,0.559875362,0.477039811,0.614472528,0.656844598,0.883370449,0.349922003,0.497375353,0.707347745,0.513720489,0.644208749,0.784454308,0.446816815,0.363889455,0.518831082,0.283072221,0.491097106,0.616696205,0.466331749,0.379782498,0.541491273,0.28482235,0.494133375,0.620509006
20/04/2017 13.00,0.464807143,0.564809037,0.494287449,0.47918274,0.652406991,0.83125609,0.411322133,0.487369887,0.682986581,0.556499075,0.634480999,0.748341882,0.43888424,0.384162562,0.568970562,0.348329255,0.531193832,0.677821002,0.427121237,0.373866213,0.553720977,0.314910631,0.480231225,0.61279102
20/04/2017 14.00,0.535192857,0.555250969,0.822825911,0.590604395,0.648551054,0.823800455,0.40267495,0.483426465,0.67289607,0.52282676,0.630989684,0.723374231,0.433684992,0.383462686,0.549309714,0.426881444,0.521214471,0.653639832,0.420416213,0.37173048,0.532503347,0.399574034,0.48787262,0.611826791
20/04/2017 15.00,0.701424107,0.551703729,0.721225371,0.506556461,0.664837313,0.886795899,0.451656116,0.494567765,0.680380297,0.573937458,0.647649417,0.724619099,0.452770445,0.387727734,0.506935404,0.5495719,0.571507066,0.618858423,0.471180201,0.403492838,0.527547521,0.515458487,0.536032078,0.580444208
20/04/2017 16.00,0.638591071,0.569246621,0.522831309,0.492805514,0.718400131,0.868600953,0.392044823,0.515282789,0.697175615,0.658461459,0.680808989,0.748941121,0.422294867,0.389899962,0.475788385,0.53285826,0.685067561,0.733924636,0.476244514,0.439711047,0.536572017,0.445652181,0.572951337,0.613812601
20/04/2017 17.00,0.569729464,0.623924902,0.421078947,0.463493386,0.788574823,1.087248646,0.36212751,0.542089988,0.708946345,0.851886787,0.718019242,0.777380157,0.53898301,0.471789131,0.568992662,0.63863341,0.791760583,0.871583373,0.546511981,0.478379481,0.576940833,0.532935208,0.660718785,0.727330357
20/04/2017 18.00,0.736616071,0.693898151,0.450065452,0.765040925,0.861300371,1.031993245,0.380046958,0.555785046,0.725459372,0.794255479,0.780105776,0.82260803,0.481787087,0.482186339,0.624553241,0.726057046,0.860611746,0.9458567,0.467594381,0.467981872,0.606154864,0.548555537,0.650215215,0.71462006
20/04/2017 19.00,0.789775893,0.715060409,0.665203779,0.545536661,0.873912385,1.14001203,0.459876677,0.557482411,0.722515399,0.928262437,0.771751752,0.789450292,0.594599305,0.585865397,0.725237531,0.671222045,0.797511117,0.926459661,0.472823709,0.46587853,0.576706862,0.505613793,0.600744007,0.697877531
20/04/2017 20.00,0.907416964,0.707636142,0.722531039,0.318818302,0.822399382,1.100822562,0.412593507,0.536939938,0.712502928,0.786009971,0.729377031,0.757039667,0.525672289,0.505185898,0.610610766,0.589929224,0.717513131,0.739135879,0.470762968,0.452416492,0.546829161,0.492069055,0.598488758,0.616524625
20/04/2017 21.00,0.691540179,0.710491777,0.388252362,0.514114058,0.780177507,0.99265711,0.45537177,0.52701317,0.696717318,0.67292175,0.702368668,0.729093648,0.509483918,0.500810483,0.613034106,0.664179604,0.718325817,0.723118066,0.446159623,0.438564218,0.536839448,0.541698005,0.585859095,0.589767604
20/04/2017 22.00,0.493491071,0.628653039,0.366681512,0.396206328,0.72273527,0.882155409,0.439288972,0.510447901,0.6792918,0.684990518,0.656756937,0.706716918,0.58541618,0.518609841,0.631555762,0.587504004,0.668563589,0.654921773,0.475734045,0.421444377,0.513229028,0.497298657,0.565912356,0.554365104
20/04/2017 23.00,0.566188393,0.572837601,0.312993252,0.55092895,0.656167922,0.852517218,0.458825622,0.491314749,0.648537276,0.579788448,0.625671839,0.688364069,0.541202638,0.436440716,0.543478696,0.410546351,0.532042999,0.49908279,0.491811484,0.396610329,0.493879825,0.414954564,0.537755774,0.504441657
21/04/2017 00.00,0.529913747,0.540257859,0.3195722,0.496014873,0.627805184,0.742178392,0.371702807,0.489692784,0.638748052,0.571189912,0.611207194,0.659306832,0.516833936,0.405351228,0.506728701,0.383669558,0.535641072,0.4956254,0.489381575,0.383820428,0.479813094,0.385822232,0.53864642,0.49840623
21/04/2017 01.00,0.415082659,0.521309217,0.407035762,0.406808735,0.614130972,0.830599327,0.401235782,0.479373764,0.626523379,0.581316874,0.606176246,0.651876513,0.58540307,0.437941415,0.56966902,0.383105658,0.536242455,0.478958418,0.490991718,0.36731206,0.477795189,0.367497238,0.514394964,0.459444783
21/04/2017 02.00,0.396234951,0.525087139,0.62254251,0.44823418,0.616441057,0.776910515,0.387420034,0.480279682,0.629656361,0.505420121,0.609285821,0.646528434,0.485963094,0.395244157,0.510855345,0.379736326,0.545510131,0.509858494,0.450304393,0.366242174,0.473370115,0.343652381,0.493673748,0.461409861
21/04/2017 03.00,0.381063343,0.520407159,0.313159919,0.458573039,0.619897298,0.795239762,0.377999288,0.478379384,0.632735618,0.541204782,0.615058331,0.652558509,0.467963723,0.383834729,0.496640206,0.381245167,0.495518462,0.454885545,0.445656409,0.365537751,0.472965915,0.384021783,0.499127332,0.458198485
21/04/2017 04.00,0.336805929,0.537326456,0.476808367,0.47837538,0.645460034,0.766074183,0.446129358,0.494098034,0.636359892,0.51933862,0.640399841,0.663567124,0.435057916,0.394918553,0.491145763,0.345825858,0.516361232,0.483004348,0.42030527,0.381527017,0.474491199,0.342779396,0.511812484,0.478749449
21/04/2017 05.00,0.369245283,0.582096771,0.59825641,0.640562902,0.740712225,0.888214926,0.384448938,0.517179086,0.652329779,0.588117667,0.719461993,0.692280469,0.507221874,0.42869825,0.531619017,0.398942988,0.591845069,0.497526477,0.464447401,0.392545744,0.486787111,0.38062576,0.564670857,0.474682847
21/04/2017 06.00,0.467630728,0.702029811,0.610464238,0.78558507,0.920397466,1.02097702,0.443912225,0.567110985,0.698756498,0.634175707,0.812831626,0.767998408,0.6734453,0.545328948,0.659800868,0.612774163,0.770940559,0.713655719,0.528597168,0.42803675,0.517887452,0.477712286,0.601017143,0.556358485
21/04/2017 07.00,0.285194969,0.741250581,0.891587719,0.653477963,0.906520925,1.111988598,0.39703195,0.575622028,0.767050816,0.690801705,0.801716156,0.849912294,0.571496932,0.533168884,0.722615239,0.484915062,0.734872843,0.769583393,0.471790211,0.4401491,0.596543528,0.398286631,0.603590302,0.63209993
21/04/2017 08.00,0.532003145,0.634043182,0.822376519,0.587025199,0.763238984,1.069139621,0.440933153,0.535375232,0.804999618,0.615437134,0.749195273,0.890120053,0.463825324,0.450285552,0.712951282,0.389783169,0.580998098,0.664867097,0.430242126,0.417682699,0.661330159,0.401348158,0.598236494,0.684593913
21/04/2017 09.00,0.445377808,0.551682991,0.76221525,0.550005116,0.683303199,0.897943912,0.414646998,0.512347719,0.782623613,0.527288059,0.711227375,0.855989126,0.446870404,0.465393305,0.70990878,0.276489234,0.556279718,0.726829898,0.405011667,0.421799512,0.643411011,0.275763884,0.554820357,0.724923111
21/04/2017 10.00,0.56117655,0.524745381,0.678337382,0.512390212,0.631828757,0.881854249,0.394202488,0.496396705,0.724469428,0.541560071,0.650969406,0.782371658,0.399087465,0.399223727,0.548834548,0.293631466,0.522647999,0.544509384,0.414724395,0.414865996,0.570338825,0.330394312,0.58808386,0.612682304
21/04/2017 11.00,0.729551662,0.517022957,0.384776653,0.660063492,0.615406632,0.813151979,0.402024949,0.476474002,0.689280593,0.508163289,0.627396898,0.72333245,0.392666362,0.399326333,0.538031828,0.266244757,0.494688385,0.521060552,0.389760752,0.396371441,0.534050558,0.284000861,0.527679602,0.555810553
