READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
14/07/2017 14.00,0,0.12765775,0.239966981,0.114150642,0.200369997,0.246272002,0.078673176,0.10675843,0.144325461,0.14355738,0.170071934,0.191764394,0.099507925,0.122541173,0.151675946,0.080906636,0.220636634,0.174341769,0.070149375,0.086386955,0.106925883,0.067885044,0.185126069,0.146282174
14/07/2017 15.00,0.1002252,0.149834082,0.112045963,0.252257942,0.194685948,0.290689282,0.09058827,0.094225512,0.12758217,0.131315257,0.161208352,0.180247391,0.073503711,0.10283002,0.131412408,0.068555764,0.215676388,0.166242678,0.064883786,0.090770941,0.116001416,0.063740973,0.200529058,0.154567165
14/07/2017 16.00,0.043036916,0.155844741,0.056006634,0.352451046,0.207089856,0.349779857,0.057835337,0.107519198,0.126347637,0.141815355,0.180707532,0.188069348,0.108262362,0.167574464,0.208733073,0.148064279,0.215430214,0.184119465,0.062462363,0.096682696,0.120429305,0.113944828,0.165787175,0.141691573
14/07/2017 17.00,0.303597106,0.159708074,0.022560054,0.45147467,0.239526469,0.416718455,0.092289976,0.114626028,0.140067016,0.229770732,0.198418843,0.210485744,0.030359524,0.116386673,0.141343189,0.206344534,0.291661259,0.331617098,0.029618084,0.113544277,0.137891304,0.125782901,0.177790022,0.202146186
14/07/2017 18.00,0.107463209,0.179542754,0.380881756,0.188836385,0.258930471,0.37204001,0.139892813,0.134081321,0.162894672,0.199156087,0.229991322,0.256735609,0.122087535,0.156780569,0.215269478,0.190889222,0.316481216,0.367805118,0.076837585,0.098672156,0.135483011,0.122307418,0.202777296,0.235661782
14/07/2017 19.00,0.113580172,0.19229385,0.029489613,0.04246272,0.25533542,0.369227864,0.086067824,0.120784177,0.149140974,0.240199653,0.225124383,0.241086702,0.108273493,0.198830262,0.206112886,0.197470254,0.33157496,0.3610553,0.061944376,0.113752832,0.117919296,0.10259475,0.172268224,0.187584597
14/07/2017 20.00,0.057400216,0.176364005,0.156372319,0.067423335,0.224068684,0.35137995,0.08085929,0.114189844,0.13318904,0.179388526,0.197807838,0.209934857,0.066474939,0.14244455,0.152806262,0.156554305,0.272741889,0.303903448,0.047733397,0.102284596,0.109724989,0.099275678,0.172953634,0.192714092
14/07/2017 21.00,0.176001333,0.172732847,0.191279702,0.15088198,0.214915853,0.302090074,0.089851149,0.10610873,0.133733284,0.201382227,0.188029657,0.189798725,0.072468371,0.099109596,0.133190319,0.168662532,0.264002367,0.215841829,0.066697851,0.091217685,0.122584624,0.115944737,0.181484795,0.148377496
14/07/2017 22.00,0.034377543,0.150645941,0.103033714,0.04731094,0.200623125,0.281920519,0.098797628,0.097233623,0.136358951,0.200430914,0.17731508,0.185588033,0.065173262,0.079462429,0.082853831,0.089884407,0.229545742,0.210961475,0.069698137,0.084979377,0.08860624,0.054400584,0.138927572,0.127679849
14/07/2017 23.00,0.108977293,0.140456387,0.062781713,0.12960104,0.186967395,0.261520278,0.063866563,0.106143372,0.131383659,0.125996544,0.163019044,0.18427267,0.030457425,0.055716626,0.067627413,0.140349896,0.16704205,0.139274605,0.038633828,0.07067395,0.085782229,0.112611931,0.134028798,0.111749155
15/07/2017 00.00,0.0488724,0.123249363,0.054963128,0.105532529,0.168664026,0.222519597,0.053759334,0.09862195,0.126684144,0.108345098,0.153091311,0.169283398,0.057610269,0.078212283,0.105008312,0.149923926,0.179376407,0.200749542,0.049236852,0.066844447,0.089745782,0.10322275,0.123500807,0.138216229
15/07/2017 01.00,0.063793891,0.119525646,0.104411771,0.104173841,0.150471533,0.212055475,0.055977279,0.093189548,0.121807048,0.096828571,0.141760794,0.159493106,0.030032941,0.059397575,0.066123799,0.107718709,0.13916573,0.133158772,0.037292721,0.073755585,0.082107722,0.090165675,0.116488325,0.111460216
15/07/2017 02.00,0.065403243,0.113587787,0.279578156,0.206319576,0.154305493,0.218150675,0.070254606,0.096033818,0.125159651,0.094034423,0.142299062,0.157427606,0.062664612,0.089457799,0.111646643,0.066528269,0.138642071,0.120642793,0.04800853,0.068535292,0.085534581,0.051364435,0.107041289,0.093144599
15/07/2017 03.00,0.102366512,0.112059793,0.191066232,0.07284207,0.154022388,0.210657844,0.069378379,0.098986684,0.127453427,0.089165237,0.147874974,0.168446094,0.047396678,0.072220362,0.099563577,0.047650538,0.136765777,0.12932145,0.042925355,0.065407214,0.090170916,0.035507878,0.101914118,0.096366809
15/07/2017 04.00,0.094960038,0.117420193,0.137862387,0.101539696,0.16153219,0.257745018,0.089295292,0.098916203,0.140435275,0.115056703,0.157275433,0.174840626,0.062867565,0.075664898,0.096891361,0.02938196,0.136855031,0.137300521,0.058973294,0.070977908,0.090889518,0.024207362,0.112752836,0.113119868
15/07/2017 05.00,0.130891466,0.116593701,0.103966435,0.162939536,0.178435164,0.231898027,0.117311074,0.106041809,0.147996625,0.089319817,0.176575278,0.186643737,0.049914393,0.08589416,0.115120472,0.02864521,0.146908873,0.152634499,0.044616583,0.076777533,0.102901825,0.0228818,0.117350839,0.12192447
15/07/2017 06.00,0.124771415,0.130360643,0.184731381,0.169058443,0.182720401,0.24379944,0.096702515,0.107416493,0.155708943,0.110371506,0.186786628,0.196173923,0.080990621,0.103262944,0.128524079,0.072961153,0.183477172,0.162632595,0.069712406,0.088883233,0.11062667,0.059479699,0.149575035,0.13258203
