,weekday BEV,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,ev9,ev10,ev11,ev12,ev13,ev14,ev15,ev16,ev17,ev18,ev19,ev20
108,h13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,h14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,h15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,h16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,h17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,h18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,h19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,h20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116,h21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,h22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,h23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,h24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,h1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,h2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,h3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
123,h4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
124,h5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,h6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
126,h7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
127,h8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,h9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,h10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,h11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,h12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,h13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,h14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,h15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,h16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,h17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,h18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
